chapter,shlok,text,list_metaphors,count_metaphors,refined,verb_refined,count_met_ref,count_verb_ref
2,1,"SANJAYA: These are the words that Sri Krishna spoke to the despairing Arjuna, whose eyes were burning with tears of pity and confusion. ","['These', 'to', 'bur', 'with']",4,['bur'],[],1,0
2,2,"KRISHNA  This despair and weakness in a time of crisis are mean and unworthy of you, Arjuna. How have you fallen into a state so far from the path to liberation? ","['This', 'weak', 'in', 'crisis', 'mean', 'worthy', 'fallen into', 'far from', 'path to']",9,"['weak', 'crisis', 'mean', 'worthy', 'fallen into', 'far from', 'path to']",['fallen into'],7,1
2,3,It does not become you to yield to this weakness. Arise with a brave heart and destroy the enemy. ,"['become', 'yield to this weakness', 'with', 'brave', 'destroy']",5,"['become', 'yield to this weakness', 'brave', 'destroy']",[],4,0
2,4,"ARJUNA:  How can I ever bring myself to fight against Bhishma and Drona, who are worthy of reverence? How can I, Krishna? ","['bring', 'against', 'worthy']",3,"['bring', 'worthy']",[],2,0
2,5,"Surely it would be better to spend my life begging than to kill these great and worthy souls! If I killed them, every pleasure I found would be tainted. ","['spend', 'these great', 'found', 'tainted']",4,"['spend', 'these great', 'found', 'tainted']",['tainted'],4,1
2,6,"I dont even know which would be better, for us to conquer them or for them to conquer us. The sons of Dhritarashtra have confronted us; but why would we care to live if we killed them? ",['confront'],1,['confront'],[],1,0
2,7,"My will is paralyzed, and I am utterly confused. Tell me which is the better path for me. Let me be your disciple. I have fallen at your feet; give me instruction. ","['paralyzed', 'path', 'give']",3,"['paralyzed', 'path', 'give']","['paralyzed', 'give']",3,2
2,8,What can overcome a sorrow that saps all my vitality? Even power over men and gods or the wealth of an empire seem empty. ,"['overcome', 'sorrow', 'saps', 'power over', 'of', 'empty']",6,"['overcome', 'sorrow', 'saps', 'power over', 'empty']",[],5,0
2,9,"SANJAYA: This is how Arjuna, the great warrior, spoke to Sri Krishna. With the words, O Krishna, I will not fight, he fell silent. ","['This', 'great', 'to', 'With']",4,['great'],[],1,0
2,10,"As they stood between the two armies, Sri Krishna smiled and replied to Arjuna, who had sunk into despair. ","['to', 'sunk into']",2,['sunk into'],[],1,0
2,11,"KRISHNA: You speak sincerely, but your sorrow has no cause. The wise grieve neither for the living nor for the dead. ",['has'],1,['has'],['has'],1,1
2,12,"There has never been a time when you and I and the kings gathered here have not existed, nor will there be a time when we will cease to exist. ",[],0,[],[],0,0
2,13,"As the same person inhabits the body through childhood, youth, and old age, so too at the time of death he attains another body. The wise are not deluded by these changes. ","['habi', 'through', 'at', 'these']",4,['habi'],[],1,0
2,14,"When the senses contact sense objects, a person experiences cold or heat, pleasure or pain. These experiences are fleeting; they come and go. Bear them patiently, Arjuna. ","['These', 'come', 'go', 'Bear']",4,"['come', 'go', 'Bear']","['come', 'go']",3,2
2,15,"Those who are unaffected by these changes, who are the same in pleasure and pain, are truly wise and fit for immortality. Assert your strength and realize this! ","['Those', 'unaffe', 'these', 'in', 'pain', 'fit', 'sert', 'strength', 'this']",9,"['unaffe', 'pain', 'fit', 'sert', 'strength']",[],5,0
2,16,The impermanent has no reality; reality lies in the eternal. Those who have seen the boundary between these two have attained the end of all knowledge. ,"['has', 'li', 'in', 'seen', 'boundary between these two', 'end']",6,"['has', 'li', 'seen', 'boundary between these two', 'end']","['has', 'seen']",5,2
2,17,"Realize that which pervades the universe and is indestructible; no power can affect this unchanging, imperishable reality. ","['that', 'pervad', 'power', 'this']",4,"['pervad', 'power']",[],2,0
