chapter,shlok,text,list_metaphors,count_metaphors,refined,verb_refined,count_met_ref,count_verb_ref
2,1,"Sanjaya then told how the Lord Shri Krishna, seeing Arjuna overwhelmed with compassion, his eyes dimmed with flowing tears and full of despondency, consoled him: ","['overwhel', 'with', 'with flow', 'full', 'console']",5,"['overwhel', 'with flow', 'full', 'console']",[],4,0
2,2," “The Lord said: My beloved friend! Why yield, just on the eve of battle, to this weakness which does no credit to those who call themselves Aryans, and only brings them infamy and bars against them the gates of heaven? ","['yield', 'on', 'to this we', 'does', 'credit to', 'brings', 'bar', 'against', 'gates']",9,"['yield', 'to this we', 'does', 'credit to', 'brings', 'bar', 'gates']",['does'],7,1
2,3," O Arjuna! Why give way to unmanliness? O you who are the terror of yours enemies! Shake off such shameful effeminacy, make ready to act! ","['give way to', 'Shak', 'off', 'make']",4,"['give way to', 'Shak', 'make']","['give way to', 'make']",3,2
2,4," Arjuna argued: My Lord! How can I, when the battle rages, send an arrow through Bheeshma and Drona, who should receive my reverence? ","['Lord', 'rag']",2,"['Lord', 'rag']",[],2,0
2,5," Rather would I content myself with a beggar’s crust that kill these teachers of mine, these precious noble souls! To slay these masters who are my benefactors would be to stain the sweetness of life’s pleasures with their blood. ","['with', 'crust', 'these', 'these', 'ble', 'these', 'stain', 'sweetness', 'with']",9,"['crust', 'ble', 'stain', 'sweetness']",[],4,0
2,6," Nor can I say whether it were better that they conquer me or for me to conquer them, since I would no longer care to live if I killed these sons of Dhritarashtra, now preparing for fight. ","['these', 'prepar']",2,['prepar'],[],1,0
2,7," My heart is oppressed with pity; and my mind confused as to what my duty is. Therefore, my Lord, tell me what is best for my spiritual welfare, for I am Your disciple. Please direct me, I pray. ","['oppress', 'with', 'Lord', 'direct']",4,"['oppress', 'Lord', 'direct']",[],3,0
2,8," For should I attain the monarchy of the visible world, or over the invisible world, it would not drive away the anguish which is now paralysing my senses.” ","['attain', 'over', 'drive away', 'paralys']",4,"['attain', 'drive away', 'paralys']",[],3,0
2,9," Sanjaya continued: “Arjuna, the conqueror of all enemies, then told the Lord of All-Hearts that he would no fight, and became silent, O King! ",[],0,[],[],0,0
2,10," Thereupon the Lord, with a gracious smile, addressed him who was so much depressed in the midst of the two armies. ","['with', 'in', 'midst']",3,['midst'],[],1,0
2,11," Lord Shri Krishna said: Why grieve for those for whom no grief is due, and yet profess wisdom? The wise grieve neither for the dead nor the living. ",[],0,[],[],0,0
2,12," There was never a time when I was not, nor you, nor these princes were not; there will never be a time when we shall cease to be. ",['these'],1,[],[],0,0
2,13," As the soul experiences in this body infancy, youth and old age, so finally it passes into another. The wise have no delusion about this. ","['experiences in this', 'old', 'passe', 'into', 'have', 'about this']",6,"['experiences in this', 'old', 'passe', 'have', 'about this']",['have'],5,1
2,14," Those external relations which bring cold and heat, pain and happiness, they come and go; they are not permanent. Endure them bravely, O Prince! ","['Those', 'bring', 'come', 'go']",4,"['bring', 'come', 'go']","['come', 'go']",3,2
2,15," The hero whose soul is unmoved by circumstance, who accepts pleasure and pain with equanimity, only he is fit for immortality. ","['unmoved', 'accept', 'pain with', 'fit']",4,"['unmoved', 'accept', 'pain with', 'fit']",[],4,0
2,16," That which is not, shall never be; that which is, shall never cease to be. To the wise, these truths are self-evident. ","['That', 'that', 'To', 'these']",4,[],[],0,0
2,17," The Spirit, which pervades all that we see, is imperishable. Nothing can destroy the Spirit. ",['destroy'],1,['destroy'],[],1,0
2,18," The material bodies which this Eternal, Indestructible, Immeasurable Spirit inhabits are all finite. Therefore fight, O Valiant Man! ","['bo', 'this', 'struct', 'inhabi', 'fight']",5,"['bo', 'struct', 'inhabi', 'fight']",[],4,0
2,19," He who thinks that the Spirit kills, and he who thinks of It as killed, are both ignorant. The Spirit kills not, nor is It killed. ",[],0,[],[],0,0
2,20," It was not born; It will never die, nor once having been, can It cease to be. Unborn, Eternal, Ever-enduring, yet Most Ancient, the Spirit dies not when the body is dead. ",[],0,[],[],0,0
2,21," He who knows the Spirit as Indestructible, Immortal, Unborn, Always-the-Same, how should he kill or cause to be killed? ",['struct'],1,['struct'],[],1,0
2,22," As a man discards his threadbare robes and puts on new, so the Spirit throws off Its wornout bodies and takes fresh ones. ","['throw', 'takes']",2,"['throw', 'takes']",['takes'],2,1
2,23," Weapons cleave It not, fire burns It not, water drenches It not, and wind dries It not. ",['cleave'],1,['cleave'],[],1,0
2,24," It is impenetrable; It can be neither drowned nor scorched nor dried. It is Eternal, Allpervading, Unchanging, Immovable and Most Ancient. ",['vad'],1,['vad'],[],1,0
2,25," It is named the Unmanifest, the Unthinkable, the immutable. Wherefore, knowing the Spirit as such, you have no cause to grieve. ","['mu', 'have']",2,"['mu', 'have']",['have'],2,1
2,26," Even if you think of It as constantly being born, constantly dying, even then, O Mighty Man, you still have no cause to grieve. ",['have'],1,['have'],['have'],1,1
2,27," For death is as sure for that which is born, as birth is for that which is dead. Therefore grieve not for what is inevitable. ","['that', 'that']",2,[],[],0,0
2,28, The end and the beginning of beings are unknown. We see only the intervening formations. Then what cause is there for grief? ,"['end', 'see', 'formation']",3,"['end', 'see', 'formation']",['see'],3,1
2,29," One hears of the Spirit with surprise, another thinks It marvellous, the third listens without comprehending. Thus, though many are told about It, scarcely is there one who knows It. ","['Spirit with', 'without', 'about']",3,['Spirit with'],[],1,0
2,30, Be not anxious about these armies. The Spirit in man is imperishable. ,"['about these', 'Spirit in']",2,"['about these', 'Spirit in']",[],2,0
2,31," You must look at your duty. Nothing can be more welcome to a soldier than a righteous war. Therefore to waver in this resolve is unworthy, O Arjuna! ","['look at', 'welcome to', 'ous', 'in this', 'worth']",5,"['look at', 'welcome to', 'ous', 'in this', 'worth']",[],5,0
2,32, Blessed are the soldiers who find their opportunity. This opportunity has opened for you the gates of heaven. ,"['find', 'This', 'opened', 'gates']",4,"['find', 'opened', 'gates']","['find', 'opened']",3,2
2,33," Refuse to fight in this righteous cause, and you will be a traitor, lost to fame, incurring only sin. ","['fight in this', 'ous cause', 'lost to']",3,"['fight in this', 'ous cause', 'lost to']",['lost to'],3,1
2,34," Men will talk forever of your disgrace; and to the noble, dishonour is worse than death. ",['to'],1,[],[],0,0
2,35, Great generals will think that you have fled from the battlefield through cowardice; though once honoured you will seem despicable. ,"['Great', 'through']",2,['Great'],[],1,0
2,36, Yours enemies will spread scandal and mock at your courage. Can anything be more humiliating? ,"['spread', 'at']",2,['spread'],[],1,0
2,37," If killed, you shall attain Heaven; if victorious, enjoy the kingdom of earth. Therefore arise, O Son of Kunti, and fight! ","['attain', 'arise']",2,"['attain', 'arise']",[],2,0
2,38," Look upon pleasure and pain, victory and defeat, with an equal eye. Make ready for the combat, and you shall commit no sin. ","['Look upon', 'commit']",2,"['Look upon', 'commit']",[],2,0
2,39," I have told you the philosophy of Knowledge. Now listen and I will explain the philosophy of Action, by means of which, O Arjuna, you shall break through the bondage of all action. ","['break through', 'bondage']",2,"['break through', 'bondage']",[],2,0
2,40," On this Path, endeavour is never wasted, nor can it ever be repressed. Even a very little of its practice protects one from great danger. ","['On this Path', 'protect', 'from great']",3,"['On this Path', 'protect', 'from great']",[],3,0
2,41," By its means, the straying intellect becomes steadied in the contemplation of one object only; whereas the minds of the irresolute stray into bypaths innumerable. ","['means', 'straying', 'steadi', 'in', 'stray into', 'paths']",6,"['means', 'straying', 'steadi', 'stray into', 'paths']",['straying'],5,1
2,42," Only the ignorant speak in figurative language. It is they who extol the letter of the scriptures, saying, `There is nothing deeper than this.’ ","['in', 'deeper', 'this']",3,['deeper'],[],1,0
2,43," Consulting only their own desires, they construct their own heaven, devising arduous and complex rites to secure their own pleasure and their own power; and the only result is rebirth. ","['Consulting', 'heaven', 'arduo', 'secure', 'power']",5,"['Consulting', 'heaven', 'arduo', 'secure', 'power']",['Consulting'],5,1
2,44," While their minds are absorbed with ideas of power and personal enjoyment, they cannot concentrate their discrimination on one point. ","['absorbed with', 'power', 'concentrat', 'on', 'point']",5,"['absorbed with', 'power', 'concentrat', 'point']",['absorbed with'],4,1
2,45," The Vedic Scriptures tell of the three constituents of life – the Qualities. Rise above all of them, O Arjuna, above all the pairs of opposing sensations; be steady in truth, free from worldly anxieties and centered in the Self. ","['tell', 'constituents', 'Ris', 'above', 'above', 'pair', 'opposing sensation', 'steady in', 'free from', 'center', 'in']",11,"['tell', 'constituents', 'Ris', 'pair', 'opposing sensation', 'steady in', 'free from', 'center']",['opposing sensation'],8,1
2,46," As a man can drink water from any side of a full tank, so the skilled theologian can wrest from any scripture that which will serve his purpose. ","['wrest from', 'serve']",2,"['wrest from', 'serve']",[],2,0
2,47," But you have only the right to work, but none to the fruit thereof. Let not then the fruit of your action be your motive; nor yet be you enamored of inaction. ","['have', 'to', 'fruit', 'then', 'fruit']",5,"['have', 'fruit', 'then', 'fruit']",['have'],4,1
2,48," Perform all your actions with mind concentrated on the Divine, renouncing attachment and looking upon success and failure with an equal eye. Spirituality implies equanimity. ","['with', 'concentrat', 'on', 'attachment', 'looking upon']",5,"['concentrat', 'attachment', 'looking upon']",['looking upon'],3,1
2,49, Physical action is far inferior to an intellect concentrated on the Divine. Have recourse then to Pure Intelligence. It is only the petty-minded who work for reward. ,"['action', 'far', 'to', 'concentrat', 'on', 'Have', 'then to']",7,"['action', 'far', 'concentrat', 'Have', 'then to']",['Have'],5,1
2,50," When a man attains to Pure Reason, he renounces in this world the results of good and evil alike. Cling you to Right Action. Spirituality is the real are of living. ","['atta', 'to Pure', 'in this', 'Cling', 'to']",5,"['atta', 'to Pure', 'in this', 'Cling']","['to Pure', 'Cling']",4,2
2,51," The sages guided by Pure Intellect renounce the fruit of action; and, freed from the chains of rebirth, they reach the highest bliss. ","['guide', 'ounce', 'fruit', 'free', 'from', 'chains', 'reach', 'highest']",8,"['guide', 'ounce', 'fruit', 'free', 'chains', 'reach', 'highest']",[],7,0
2,52," When your reason has crossed the entanglements of illusion, then shall you become indifferent both to the philosophies you have heard and to those you may yet hear. ","['crossed', 'entanglements', 'to', 'to those']",4,"['crossed', 'entanglements', 'to those']",['crossed'],3,1
2,53," When the intellect, bewildered by the multiplicity of holy scripts, stands unperturbed in blissful contemplation of the Infinite, then have you attained Spirituality. ","['bewilder', 'stand', 'unper', 'in']",4,"['bewilder', 'stand', 'unper']",[],3,0
2,54," Arjuna asked: My Lord! How can we recognise the saint who has attained Pure Intellect, who has reached this state of Bliss, and whose mind is steady? how does he talk, how does he live, and how does he act? ","['Lord', 'Pure', 'reached this state', 'steady']",4,"['Lord', 'Pure', 'reached this state', 'steady']",['reached this state'],4,1
2,55," Lord Shri Krishna replied: When a man has given up the desires of his heart and is satisfied with the Self alone, be sure that he has reached the highest state. ","['with', 'reached', 'highest state']",3,"['reached', 'highest state']",['reached'],2,1
2,56," The sage, whose mind is unruffled in suffering, whose desire is not roused by enjoyment, who is without attachment, anger or fear – take him to be one who stands at that lofty level. ","['sa', 'unruffled in', 'roused', 'without', 'attachment', 'take', 'stand', 'at that lofty level']",8,"['sa', 'unruffled in', 'roused', 'attachment', 'take', 'stand', 'at that lofty level']","['unruffled in', 'roused', 'take']",7,3
