,verse,chapter,num,list_metaphors,count_metaphors,refined,verb_refined,count_met_ref,count_verb_ref
0,when jesus saw the crowds he went up the mountain and after he sat down his disciples came to him.,5,1,[],0,[],[],0,0
1,then he began to speak and taught them saying,5,2,[],0,[],[],0,0
2,blessed are the poor in spirit for theirs is the kingdom of heaven.,5,3,"['in', 'kingdom']",2,['kingdom'],[],1,0
3,blessed are those who mourn for they will be comforted.,5,4,[],0,[],[],0,0
4,blessed are the meek for they will inherit the earth.,5,5,[],0,[],[],0,0
5,blessed are those who hunger and thirst for righteousness for they will be filled.,5,6,['filled'],1,['filled'],['filled'],1,1
6,blessed are the merciful for they will receive mercy.,5,7,['receive'],1,['receive'],[],1,0
7,blessed are the pure in heart for they will see god.,5,8,"['in', 'see']",2,['see'],['see'],1,1
8,blessed are the peacemakers for they will be called children of god.,5,9,[],0,[],[],0,0
9,blessed are those who are persecuted for righteousness sake for theirs is the kingdom of heaven.,5,10,"['those', 'king']",2,['king'],[],1,0
10,blessed are you when people revile you and persecute you and utter all kinds of evil against you falsely on my account.,5,11,"['against', 'on', 'account']",3,['account'],[],1,0
11,rejoice and be glad for your reward is great in heaven for in the same way they persecuted the prophets who were before you.,5,12,"['reward', 'great in', 'in', 'way', 'before']",5,"['reward', 'great in', 'way']",[],3,0
12,you are the salt of the earth but if salt has lost its taste how can its saltiness be restored it is no longer good for anything but is thrown out and trampled under foot.,5,13,"['lost', 'resto']",2,"['lost', 'resto']",['lost'],2,1
13,you are the light of the world. a city built on a hill cannot be hidden.,5,14,"['light', 'hidden']",2,"['light', 'hidden']",[],2,0
14,no one after lighting a lamp puts it under the bushel basket but on the lampstand and it gives light to all in the house.,5,15,"['after', 'gives', 'to']",3,['gives'],['gives'],1,1
15,in the same way let your light shine before others so that they may see your good works and give glory to your father in heaven.,5,16,"['in', 'way', 'light shine before', 'give', 'to']",5,"['way', 'light shine before', 'give']",['give'],3,1
16,do not think that i have come to abolish the law or the prophets i have come not to abolish but to fulfil.,5,17,[],0,[],[],0,0
